age,breed,past_crimes,suspect
32,0,10,yes
41,0,8,yes
17,0,2,no
27,1,6,yes
10,0,6,yes
10,1,8,yes
53,1,5,yes
48,1,4,yes
52,1,2,no
24,0,4,no
38,1,0,no
16,0,5,no
50,0,0,no
49,0,7,yes
31,1,4,yes
15,0,0,no
15,1,3,yes
49,0,8,yes
34,0,7,yes
28,0,7,yes
36,0,2,no
40,0,6,yes
33,1,9,yes
35,1,1,no
27,1,8,yes
26,1,8,yes
56,0,1,no
36,0,0,no
25,1,2,no
53,0,0,no
44,1,9,yes
34,0,7,yes
38,0,7,yes
59,0,6,yes
36,0,2,no
14,0,4,no
12,1,1,yes
12,0,6,yes
40,1,8,yes
37,1,9,yes
56,0,1,no
13,0,8,yes
25,0,10,yes
44,0,4,no
53,1,2,no
15,1,6,yes
43,1,3,yes
15,0,7,yes
60,0,2,no
56,0,1,no
29,1,8,yes
28,0,5,no
51,0,0,no
59,1,7,yes
17,0,4,no
59,0,4,no
44,0,2,no
51,1,4,yes
29,0,3,no
58,1,4,yes
45,1,2,no
59,1,5,yes
35,1,5,yes
56,1,9,yes
20,0,3,no
19,0,3,no
51,1,5,yes
30,0,3,no
57,1,8,yes
15,0,6,yes
41,0,7,yes
11,0,10,yes
43,0,2,no
13,0,4,no
31,1,4,yes
46,0,2,no
27,1,2,no
13,0,6,yes
29,1,7,yes
19,1,4,yes
46,1,1,no
60,1,0,no
40,1,1,no
37,1,3,yes
22,1,8,yes
51,0,10,yes
41,0,6,yes
52,0,3,no
46,1,7,yes
33,1,6,yes
12,0,1,no
37,0,8,yes
25,1,0,no
38,0,8,yes
58,1,0,no
30,0,6,yes
60,1,1,no
25,0,10,yes
13,1,8,yes
15,0,8,yes
57,0,7,yes
17,1,10,yes
10,0,4,no
18,1,2,yes
47,1,2,no
37,0,4,no
43,0,4,no
36,1,6,yes
12,1,5,yes
26,0,10,yes
17,0,9,yes
24,0,0,no
57,1,6,yes
49,0,5,no
28,1,7,yes
26,1,6,yes
10,1,4,yes
33,1,6,yes
43,0,6,yes
51,0,6,yes
24,1,4,yes
23,0,4,no
56,1,8,yes
25,1,1,no
33,1,7,yes
46,1,4,yes
43,0,1,no
50,1,0,no
12,1,7,yes
49,0,5,no
52,0,6,yes
18,0,5,no
16,0,9,yes
18,0,7,yes
21,1,9,yes
42,1,10,yes
59,0,5,no
32,1,6,yes
37,1,9,yes
13,1,1,yes
51,0,5,no
30,0,10,yes
18,0,1,no
31,1,2,no
53,0,7,yes
24,0,1,no
29,0,7,yes
59,0,9,yes
20,0,8,yes
43,0,6,yes
29,0,1,no
36,1,6,yes
22,0,7,yes
24,1,0,no
46,0,10,yes
12,1,8,yes
14,1,7,yes
39,1,0,no
22,1,2,no
10,0,3,no
10,0,2,no
47,0,5,no
27,1,1,no
18,0,8,yes
22,1,9,yes
36,1,5,yes
22,1,6,yes
43,0,7,yes
41,0,2,no
56,1,8,yes
48,0,5,no
58,1,2,no
53,1,7,yes
21,0,0,no
57,1,8,yes
15,0,7,yes
17,0,8,yes
38,0,10,yes
46,1,7,yes
49,0,2,no
36,0,7,yes
30,0,3,no
38,1,7,yes
37,0,6,yes
52,0,8,yes
24,0,10,yes
25,0,4,no
17,0,6,yes
36,0,3,no
47,1,2,no
41,0,3,no
16,0,1,no
47,1,3,yes
24,1,3,yes
56,0,2,no
13,1,6,yes
35,0,8,yes
34,0,10,yes
12,0,7,yes
26,0,9,yes
47,0,0,no
19,0,4,no
38,1,6,yes
20,0,6,yes
58,0,2,no
13,0,7,yes
40,0,3,no
16,0,10,yes
21,0,5,no
20,1,7,yes
38,0,0,no
54,1,10,yes
53,0,9,yes
13,1,9,yes
16,1,1,yes
22,0,10,yes
39,1,4,yes
18,0,9,yes
11,1,9,yes
22,0,0,no
57,1,1,no
19,1,8,yes
55,1,7,yes
48,1,10,yes
32,0,0,no
41,0,2,no
33,1,0,no
22,0,7,yes
18,1,9,yes
17,1,1,yes
41,0,2,no
49,0,2,no
53,1,1,no
49,1,2,no
39,1,4,yes
34,0,0,no
10,1,6,yes
21,1,9,yes
34,1,7,yes
11,1,3,yes
53,0,3,no
58,1,4,yes
56,1,10,yes
36,1,0,no
50,1,1,no
15,0,3,no
49,1,8,yes
25,1,8,yes
37,0,3,no
20,1,10,yes
58,1,9,yes
57,0,0,no
23,1,2,no
38,1,9,yes
27,0,0,no
15,0,4,no
23,0,4,no
56,0,10,yes
39,1,8,yes
26,1,5,yes
18,1,5,yes
42,1,3,yes
35,1,2,no
23,1,8,yes
38,0,7,yes
25,0,4,no
19,1,3,yes
54,0,7,yes
59,0,3,no
37,1,5,yes
60,1,7,yes
42,0,7,yes
45,1,5,yes
46,0,0,no
30,1,7,yes
38,0,0,no
37,0,6,yes
19,0,3,no
58,0,0,no
55,0,4,no
39,1,5,yes
57,1,5,yes
37,1,1,no
50,0,10,yes
51,1,3,yes
58,1,1,no
14,0,4,no
16,0,0,no
28,1,0,no
59,1,2,no
38,1,3,yes
41,0,6,yes
41,1,3,yes
38,0,6,yes
34,0,8,yes
24,1,8,yes
28,0,1,no
39,1,6,yes
42,0,5,no
31,1,8,yes




